"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Arif M.; Ajesh F.; Shamsudheen S.; Shahzad M.","Arif, Muhammad (56452459100); Ajesh, F. (57217016287); Shamsudheen, Shermin (57223927301); Shahzad, Muhammad (57202836009)","56452459100; 57217016287; 57223927301; 57202836009","Secure and Energy-Efficient Computational Offloading Using LSTM in Mobile Edge Computing","2022","Security and Communication Networks","2022","","4937588","","","","3","10.1155/2022/4937588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123188403&doi=10.1155%2f2022%2f4937588&partnerID=40&md5=cb42d5acd12d84f9e449e4699e818481","The use of application media, gamming, entertainment, and healthcare engineering has expanded as a result of the rapid growth of mobile technologies. This technology overcomes the traditional computing methods in terms of communication delay and energy consumption, thereby providing high reliability and bandwidth for devices. In today's world, mobile edge computing is improving in various forms so as to provide better output and there is no room for simple computing architecture for MEC. So, this paper proposed a secure and energy-efficient computational offloading scheme using LSTM. The prediction of the computational tasks is done using the LSTM algorithm, the strategy for computation offloading of mobile devices is based on the prediction of tasks, and the migration of tasks for the scheme of edge cloud scheduling helps to optimize the edge computing offloading model. Experiments show that our proposed architecture, which consists of an LSTM-based offloading technique and routing (LSTMOTR) algorithm, can efficiently decrease total task delay with growing data and subtasks, reduce energy consumption, and bring much security to the devices due to the firewall nature of LSTM.  © 2022 Muhammad Arif et al.","","Computational efficiency; Computer architecture; Energy efficiency; Energy utilization; Green computing; Long short-term memory; mHealth; Communication delays; Communication energy; Computing methods; Energy efficient; Energy-consumption; High bandwidth; High reliability; Mobile Technology; Rapid growth; Traditional computing; Mobile edge computing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85123188403"
"Poovizhi P.; Jebakumar Immanuel D.; Subramani K.; Dhavamani L.; Dhanapal R.","Poovizhi, P. (36633036800); Jebakumar Immanuel, D. (57220892351); Subramani, Karthick (57576749000); Dhavamani, Logeshwari (35332432000); Dhanapal, R (57189886950)","36633036800; 57220892351; 57576749000; 35332432000; 57189886950","M-Learning First Word Android Application to support Autistic Children with their Education","2022","Proceedings of the 2nd International Conference on Artificial Intelligence and Smart Energy, ICAIS 2022","","","","411","417","6","0","10.1109/ICAIS53314.2022.9742808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128193501&doi=10.1109%2fICAIS53314.2022.9742808&partnerID=40&md5=5dd5d7400d9c78a1e9f6048275de2362","Autism is an impaired communication and social interaction with the outsiders. It is a type of Neural Disorder, which leads to the insufficient growth of the brain. The humans get affected by this disorder will be between the age 1-3. These children will have less maturity than the normal people, so they cannot understand and learn things easily. The teaching methodologies remains similar for both normal and autism affected children. The guardians find difficult to train the autism affected people using only the objects. The objective of this paper is to design a system named First Word that will help autistic children in their education. The application will run on the Android platform, a famous platform where a greater number of smart phone device applications run. The application will be designed based on a study on the characteristics of children with autism spectrum disorders. Autism currently affects 1 in every 100 American children impairing their social interactions, communications and daily living. Often, parents, educators, and researchers need to acquire expensive equipment to help autistic children to cope with the challenges in their daily lives. In this paper, the Smartphone-Based Autism application is designed which helps such children. The biggest challenges that the society faces are that to make sure that each autistic children get educated in a proper way, so that they may extend their skills and consequently, contribute to the society. © 2022 IEEE.","Autism; Autism Spectrum; Autism Spectrum Disorder; Healthcare; Social Alert; User Interface Design","Android (operating system); mHealth; Smartphones; User interfaces; Android applications; Autism spectrum; Autism spectrum disorders; Autistic children; Communication interaction; M-Learning; Social alert; Social interactions; Spectra's; User interface designs; Diseases","Conference paper","Final","","Scopus","2-s2.0-85128193501"
"Salins P.L.; Nair S.; Kundapur P.P.; Pandey A.K.; Reshmi B.; Mandapam S.K.","Salins, Prajwal L (57203992083); Nair, Suma (55734348446); Kundapur, Poornima P (57193315973); Pandey, Akhilesh K (57207244260); Reshmi, Bhageerathy (24473337300); Mandapam, Sabu K (24473258500)","57203992083; 55734348446; 57193315973; 57207244260; 24473337300; 24473258500","Effectiveness of an mHealth application on remote monitoring and self-management of persons with hypertension in a coastal taluk of Udupi district: A study protocol","2022","F1000Research","11","","1393","","","","0","10.12688/f1000research.127131.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152928118&doi=10.12688%2ff1000research.127131.1&partnerID=40&md5=1110ac497f389cda940cf725c36f628b","Background: Hypertension is the most important risk factor for cardiovascular disease, a major cause of death and disability globally. There is increasing evidence that demonstrates clinically relevant benefits from self-monitoring and self-management of blood pressure. Evidence suggests a reduction of systolic BP by 3.2 mm/hg through self-monitoring. The use of mHealth applications in health care monitoring and self-management can help in the timely delivery of health information. Around 33% of Indians use mHealth applications in their daily life. However, well-designed, user complied mHealth applications are essential to reach the masses and to be effective. A previously conducted study in India demonstrated that applications are not customized according to users' needs and expectations and lacked usability assessment by patients. Therefore, we aimed to develop and test a novel mHealth application on remote monitoring and self-management in hypertension. Methods: The study will be carried out in three phases. The first phase will be an in-depth interview to identify the required parameters to develop a customized mHealth android-based application to monitor hypertension. The second phase is to develop the customized application through the Agile development design using the android studio platform. In the third phase, a community-based cluster randomized trial will be carried out to assess the effectiveness of the mHealth intervention on the remote monitoring and self-management of people with hypertension. A sample of 236 people from 12 villages will be randomized and the mHealth application will be delivered to the intervention group and the standard regimen will be continued in the control group. Results: In the proposed study if the intervention is found to be helpful, then hypertension patients in the community can be encouraged to install the mHealth application. This application, if found effective can improve the health status, knowledge, and self-care approach among hypertensive patients. Registration: CTR India (http://ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=67026&EncHid=&userName=CTRI/2022/03/041544 CTRI/2022/03/041544). Copyright: © 2022 Salins PL et al.","hypertension; mHealth; remote monitoring; self-management","adult; Article; community; controlled study; female; health status; human; hypertension; hypertensive patient; India; Indian; interview; knowledge; major clinical study; male; mHealth; patient attitude; remote sensing; self care; telehealth","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85152928118"
"Padmanaban K.; Sarojini R.; Ramalingam S.; Sudha R.","Padmanaban, K. (58046210600); Sarojini, R. (57998884900); Ramalingam, S. (57220484234); Sudha, R. (57216647642)","58046210600; 57998884900; 57220484234; 57216647642","LoRA-IoT based Intelligent Healthcare Device for Physically Challenged People in Hospital Application using Artificial Intelligence","2022","4th International Conference on Circuits, Control, Communication and Computing, I4C 2022","","","","481","485","4","0","10.1109/I4C57141.2022.10057892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150229010&doi=10.1109%2fI4C57141.2022.10057892&partnerID=40&md5=4a598ba06bba556d4f82b50c107547b7","Continuously monitoring and tracking of patient health data can be a daunting task in a hospital. However, some people require regular monitoring due to physiological needs in order to maintain a healthy lifestyle. Especially for the elderly and those who have been in a coma for a long time, it is critical to regularly measure and inform their loved ones' wellness at work. This research work proposed an innovative LoRa-loT-based intelligent healthcare system using Artificial intelligence. All patients' healthcare data can be transmitted to Cloud through the LoRA transceiver. Also, the bed up/down can be controlled through Online Voice Command using Artificial Intelligence. An intelligent hospital health remote control system has been proposed to monitor patients' health at a hospital and acquire a doctor's prescription. Doctors can also identify patients' illnesses using data collected remotely from them. Android-based mobile applications are utilized as an interface for web-based applications to execute effective real-time communication involving doctors and patients using LoRA-IoT. This approach uses five sensors to collect data from the hospital environment: a heart rate sensor, a body temperature sensor, a room-temperature sensor, a CO sensor, and a max30100 sensor. Incorporating specific functions in mobile intelligent hospital automation equipment enables remote monitoring at the hospital and makes life more comfortable. As a result, patients who have caused self-isolation or self-isolation can use one of the most significant variables, the mobile phone, to convey their daily health symptoms and difficulties to their doctor. As a result, it will be able to enhance patient health and live a more pleasant life.  © 2022 IEEE.","blynk application; Intelligent IoT device; max30100; pulse rate; smart hospital","Artificial intelligence; Internet of things; mHealth; Physiology; Radio transceivers; Remote control; Remote patient monitoring; Temperature sensors; Blynk application; Health data; Healthcare systems; Healthy lifestyles; Intelligent IoT device; Max30100; Monitoring and tracking; Patient health; Pulse rate; Smart hospital; Hospitals","Conference paper","Final","","Scopus","2-s2.0-85150229010"
"Bharat R.; Uzaina U.; Yadav T.; Niranjan S.; Kurade P.","Bharat, Rahul (57271901200); Uzaina, Uzaina (57723137800); Yadav, Tribhuvanesh (57271345000); Niranjan, Sanjay (57272038400); Kurade, Palomi (57723290300)","57271901200; 57723137800; 57271345000; 57272038400; 57723290300","mHealth apps delivering early intervention to support parents of children with autism: A scoping review protocol","2022","BMJ Paediatrics Open","6","1","e001358","","","","1","10.1136/bmjpo-2021-001358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131205806&doi=10.1136%2fbmjpo-2021-001358&partnerID=40&md5=08f2766b751cf19ccc3ae552e2aa399d","Objective This review aims to identify the mhealth apps delivering early intervention to support parents of children with autism spectrum disorders (ASD). We aim to explore the concept, context and methodology of implementation that is, theoretical framework, feasibility, quality of evidence, for such apps. Background To improve outcomes for children with autism, early intervention has been found to be promising. Parental training, parent psychoeducation and parent-mediated intervention are regarded as the gold standard, to achieve early childhood development goals. Digital health technologies like tele-health, web-based services, have been used to deliver this at a reduced cost. There is little evidence about their use and efficacy in empowering parents of children with ASD. Inclusion criteria The studies reporting the use of mhealth apps to support parents of children with ASD, in community settings, school settings, special schools, clinics, hospitals or child development centres. There will be no exclusion based on region, gender or sociocultural factors. The types of studies included will be quantitative, qualitative, mixed-methods study designs, case reports, grey literature, systematic reviews, clinical trials and studies reporting feasibility of digital mhealth applications. Method Using the NICE Healthcare Databases Advanced Search, we will search the following databases: MEDLINE, PUBMED, CINAHL, EMBASE, PsycINFO, Cochrane Library, EbscoHost, Sabinet, SAGE Journals, Directory of Open Access Journals, BioMed Central, Scopus, ScienceDirect. Furthermore, grey literature will be searched through Google Scholar, ShodhGanga, JSTOR, CORE, EBSCO, DOAJ, BASE. The searches will be limited to the age range of children between 2 and 6 years with ASD, and the date range is from the inception of the database to the current date. The terms for the ASD will be combined with terms for parent, early intervention and digital mhealth to identify eligible studies.  © 2022 Author(s) (or their employer(s)). Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.","Psychology; Qualitative research; Technology","autism; BioMed Central; caregiver support; child; Cinahl; clinical protocol; Cochrane Library; conceptual framework; digital technology; early intervention; Embase; feasibility study; human; Medline; parental behavior; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; preschool child; psychoeducation; PsycINFO; Review; school; ScienceDirect; Scopus; systematic review; telehealth","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85131205806"
"Mantri A.; Singh N.","Mantri, Aditya (57469929100); Singh, Navjot (57214659061)","57469929100; 57214659061","WebRTC Based Telehealth and Telecommunication","2022","Lecture Notes in Electrical Engineering","911","","","741","752","11","0","10.1007/978-981-19-2631-0_64","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140787056&doi=10.1007%2f978-981-19-2631-0_64&partnerID=40&md5=7a1d128f96a305b3e023d95272ef4520","COVID-19’s somber headlines highlight the importance of remote patient monitoring as we come face to face with the pandemic every day. The increased demand on healthcare resources in an unprecedented time makes it difficult for these patients to access traditional centralized healthcare services. The condition may become worse if they are delayed in receiving care, or there may be risks associated with visiting a facility where COVID-19 patients also receive care. A decentralized, yet personalized healthcare model is certainly needed. With the technology we currently have, different telemedicine solutions have been implemented. There are often some disadvantages to these solutions, which includes: i) applications that are too particular; ii) proprietary technologies which are not compatible; iii) the need for IT personnel trained in maintaining the system; iv) the necessity of installing additional software; v) the costs involved. There is a real need for a low-cost, easy-to-use, and compatible video conferencing architecture. In this paper, we propose such a model. A model which is economical, user-friendly, and scalable at the same time. With SDKs and APIs, web realtime communication (WebRTC) is used to provide real-time telecommunication based medical service. With the help of these software development kit (SDKs), Health Monitoring devices are integrated with a patient’s interface, allowing doctors to access vital signs through the screen-sharing feature powered by WebRTC. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","e-Health; Mobile health; React; Remote patient monitoring; WebRTC; Wireless sensor network","Application programs; COVID-19; Medical computing; mHealth; Remote patient monitoring; Software design; Telemedicine; Video conferencing; Centralised; E health; Ehealth; Face to face; Healthcare resources; React; Real-time communication; Software development kit; Telehealth; Web realtime communication; Wireless sensor networks","Conference paper","Final","","Scopus","2-s2.0-85140787056"
"Prabu Kanna G.; Gupta A.; Kumar Y.; Patel N.P.","Prabu Kanna, G. (57201427399); Gupta, Anish (57208468543); Kumar, Yogesh (57225085312); Patel, Nimisha P. (57206931174)","57201427399; 57208468543; 57225085312; 57206931174","An Enhanced Cloud-Based Healthcare System for Patient Data Privacy and Security Using Hybrid Encryption","2022","Proceedings of 2nd International Conference on Innovative Practices in Technology and Management, ICIPTM 2022","","","","112","117","5","0","10.1109/ICIPTM54933.2022.9753991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129388685&doi=10.1109%2fICIPTM54933.2022.9753991&partnerID=40&md5=015af7dd9fbf3cdd20ad2d92c4a3253e","The IT sector has taken a keen interest in recent improvements in remote healthcare systems can provide healthcare systems that are both ubiquitous and easily deployable. Cloud computing is the utilization of computer resources as a service delivered through the internet on demand. These systems offer a stage for sharing medical information, data, applications, and underpinning in a fully automated and omnipresent way. Users' confidence in such remote healthcare systems would be enhanced by communication security and patient data privacy. This paper describes a secure mobile healthcare framework based on cloud environment that makes use of wireless area networks. The research effort described here is divided into two categories: first, it tries to protect inter-sensor communication in WANs for body using an approach to key generation based on numerous biometrics and second, the electronic medical reports (EMRs) are securely maintained in the hospital or clinical community cloud, ensuring patient privacy. Because of its very efficient key generation mechanism, the suggested multi-biometric based and Hybrid Security methods provides significant security measures, according to the assessment and analysis. © 2022 IEEE.","Cloud Computing; Data Security; Digital Signature; Healthcare System; Mobile Healthcare; Privacy","Authentication; Biometrics; Clinical research; Cloud security; Cryptography; Data privacy; Digital storage; Hospital data processing; Medical information systems; mHealth; Wireless sensor networks; Cloud-based; Cloud-computing; Data privacy and securities; Digital signature; Healthcare systems; Hybrid encryption; Key generation; Patient data; Privacy; Remote healthcare systems; Cloud computing","Conference paper","Final","","Scopus","2-s2.0-85129388685"
"Faisal M.; Sadia H.; Ahmed T.; Javed N.","Faisal, Mohammad (57210120371); Sadia, Halima (57210107525); Ahmed, Tasneem (55549594300); Javed, Nashra (57348129700)","57210120371; 57210107525; 55549594300; 57348129700","Blockchain Technology for Healthcare Record Management","2022","EAI/Springer Innovations in Communication and Computing","","","","255","286","31","2","10.1007/978-3-030-77746-3_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119508248&doi=10.1007%2f978-3-030-77746-3_17&partnerID=40&md5=c45cb099ea573aba97c979f77c2bbc01","The last decade has seen the rise of innovations such as smart computers, wearable devices, smartphones, digital cameras, robots, social media networks, and ICT advancements in day-to-day life, leading to the digitization of numerous activities. Advances in trending technologies have contributed to their adaptation in every part of human’s daily routine. Almost all healthcare-associated domains are now adapting to eHealth. Health professionals have been able to collect medical records, exchange medical data through a network of professionals and patients, provide healthcare through digital media, and track various health-related events, diseases, and disease outbreaks through a range of technologies, such as social media sites, applications, smartphones, and smart objects. This has resulted in an ample amount of knowledge related to patients that is created and needs to be handled effectively for better results. Although big data is the obvious option to handle this vast data collection, data protection and security for public health data is a prime concern. A blockchain is known as a record database located in a distributed personal computer network called nodes. In particular, it is a mutual, permanent record of peer-to-peer transactions constructed from linked blocks of transactions and stored in a digital ledger. No single person owns it, i.e., it is decentralized. The healthcare sector is one of the sectors looking to embrace the blockchain. This chapter aims to reflect the numerous facts leading to the introduction of blockchain technology in general and electronic medical record management of healthcare in particular. The chapter will study the various blockchain implementation frameworks. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Blockchain; Digital ledger; Electronic health record; Electronic medical record (EMR); ICT; Pervasive healthcare","Digital devices; Digital storage; Distributed computer systems; Distributed ledger; Electronic document exchange; Medical computing; mHealth; Peer to peer networks; Personal computers; Records management; Smartphones; Social networking (online); Wearable technology; Block-chain; Digital ledg; Electronic medical record; Healthcare record; ICT; Pervasive healthcare; Record management; Smart phones; Social media networks; Wearable devices; Blockchain","Book chapter","Final","","Scopus","2-s2.0-85119508248"
"Dolk H.; Leke A.Z.; Whitfield P.; Moore R.; Karnell K.; Barišić I.; Barlow-Mosha L.; Botto L.D.; Garne E.; Guatibonza P.; Godfred-Cato S.; Halleux C.M.; Holmes L.B.; Moore C.A.; Orioli I.; Raina N.; Valencia D.","Dolk, Helen (55522682000); Leke, Aminkeng Zawuo (55880787700); Whitfield, Phil (57223176711); Moore, Rebecca (57223170439); Karnell, Katy (57223143446); Barišić, Ingeborg (7003820573); Barlow-Mosha, Linda (35268052200); Botto, Lorenzo D. (7003956663); Garne, Ester (7003909015); Guatibonza, Pilar (57218645425); Godfred-Cato, Shana (57196105884); Halleux, Christine M. (57223310565); Holmes, Lewis B. (8098105200); Moore, Cynthia A. (56508810400); Orioli, Ieda (35549574600); Raina, Neena (6603821586); Valencia, Diana (36753193800)","55522682000; 55880787700; 57223176711; 57223170439; 57223143446; 7003820573; 35268052200; 7003956663; 7003909015; 57218645425; 57196105884; 57223310565; 8098105200; 56508810400; 35549574600; 6603821586; 36753193800","Global birth defects app: An innovative tool for describing and coding congenital anomalies at birth in low resource settings","2021","Birth Defects Research","113","14","","1057","1073","16","4","10.1002/bdr2.1898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105041448&doi=10.1002%2fbdr2.1898&partnerID=40&md5=2cc9f94184096f6409a8776dae0c76be","Background: Surveillance programs in low- and middle-income countries (LMICs) have difficulty in obtaining accurate information about congenital anomalies. Methods: As part of the ZikaPLAN project, an International Committee developed an app for the description and coding of congenital anomalies that are externally visible at birth, for use in low resource settings. The “basic” version of the app was designed for a basic clinical setting and to overcome language and terminology barriers by providing diagrams and photos, sourced mainly from international Birth Defects Atlases. The “surveillance” version additionally allows recording of limited pseudonymized data relevant to diagnosis, which can be uploaded to a secure server, and downloaded by the surveillance program data center. Results: The app contains 98 (88 major and 10 minor) externally visible anomalies and 12 syndromes (including congenital Zika syndrome), with definitions and International Classification of Disease v10 -based code. It also contains newborn examination videos and links to further resources. The user taps a region of the body, then selects among a range of images to choose the congenital anomaly that best resembles what they observe, with guidance regarding similar congenital anomalies. The “basic” version of the app has been reviewed by experts and made available on the Apple and Google Play stores. Since its launch in November 2019, it has been downloaded in 39 countries. The “surveillance” version is currently being field-tested. Conclusion: The global birth defects app is a mHealth tool that can help in developing congenital anomaly surveillance in low resource settings to support prevention and care. © 2021 The Authors. Birth Defects Research published by Wiley Periodicals LLC.","app; coding; congenital anomaly; global health; surveillance","Humans; Infant, Newborn; International Classification of Diseases; Mobile Applications; Zika Virus; Zika Virus Infection; Article; artificial intelligence; child; congenital malformation; disease surveillance; Down syndrome; genetic screening; gestational age; global health; head circumference; health care delivery; human; iniencephaly; International Classification of Diseases; microcephaly; mobile application; nerve cell differentiation; prevalence; quality control; questionnaire; risk factor; syphilis; teleconference; toxoplasmosis; training; videorecording; Zika fever; newborn; Zika fever; Zika virus","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85105041448"
"Sharma P.; Sharma R.","Sharma, Preety (58273355600); Sharma, Ratish (55383623000)","58273355600; 55383623000","LTE Networks with Horizontal T-shaped Patch Antenna for Wearable Medical Devices","2022","Proceedings of 5th International Conference on Contemporary Computing and Informatics, IC3I 2022","","","","615","618","3","0","10.1109/IC3I56241.2022.10073373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151950258&doi=10.1109%2fIC3I56241.2022.10073373&partnerID=40&md5=bfe42b1340cc45084f9f63365ce06e73","Daily mhealth is among the most frequent and challenging duty in wireless body sensor networking Wsns tech. A low surface oral bioavailability (SAR) value and excellent communication in a sensor system are the main objectives of the important applications. With its distinctive shapes and great discoveries, an antenna has become one of the most popular types of communication devices in the digital age. The design strategy is suitable for adding a new parallel F1 slot to a wearable applications patch antennas UWB microstrip antennas. The antenna been generated using a higher stability simulator employing a textile substrate made of denim. The developed antenna has a 4dB permissible gain and resonates @7.7GHz. Heterodyne measurements of the reflection coefficient revealed that the antenna had such a decent return loss, improved spectrum, high VSWR of 1.05, and a concentration rate SAR number of less than 2W. The result demonstrates that the suggested design complies only with specifications for a cotton wearable antenna in use for continuous healthcare monitoring in the wireless body area net, sports, or commercial applications.  © 2022 IEEE.","LTE; SAR and Body Sensors; Smart healthcare; UWB; VSWR; WLAN","Biochemistry; Digital devices; Slot antennas; Ultra-wideband (UWB); Wearable antennas; Wearable sensors; Wireless local area networks (WLAN); Body sensors; LTE; LTE Networks; SAR sensors; Sensor networking; Smart healthcare; UWB; VSWR; Wearable medical devices; WLAN; Microstrip antennas","Conference paper","Final","","Scopus","2-s2.0-85151950258"
"Khan Y.A.; Imaduddin S.; Prabhat R.; Wajid M.","Khan, Yusuf Ahmed (57772941400); Imaduddin, Syed (58100182100); Prabhat, Ritik (57772941500); Wajid, Mohd (36663214800)","57772941400; 58100182100; 57772941500; 36663214800","Classification of Human Motion Activities using Mobile Phone Sensors and Deep Learning Model","2022","8th International Conference on Advanced Computing and Communication Systems, ICACCS 2022","","","","1381","1386","5","5","10.1109/ICACCS54159.2022.9785009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133184595&doi=10.1109%2fICACCS54159.2022.9785009&partnerID=40&md5=6b4ddd71a5cfdef513f744eb893b4887","Recently, human activity recognition (HAR) has gained a lot of importance due to its wide range of applications in virtual reality, healthcare, surveillance, security, automated control systems, etc. Latest mobile phones have advanced computational capabilities along with several embedded MEMS sensors, which enable us to detect various physical activities unobtrusively. Incorporating personalized motion samples can improve the accuracy of motion detection by mobile devices or wearable devices that are tailored to the individual. Recent works have demonstrated that the use of machine learning and statistical techniques can detect human activities more accurately. In this paper, we have classified two different physical activities, viz., walking and brisk-walking using a deep neural network (DNN). The personalized data has been collected using multiple sensors of the mobile phone with the two kinds of physical activity. Using mobile phone sensors like accelerometer, gyroscope, magnetometer, etc, data has been collected, examined, and used for training and testing the DNN model. Out of multiple sensors on the phone, we have identified the sensors which are more appropriate for the given motion/activities. Finally, we have achieved a classification accuracy of 96.5%. © 2022 IEEE.","Classification Algorithm; Deep Learning; Deep Neural Network; Human Activity Recognition; LSTM Network; MEMS Sensors; Mobile & Wearable Devices","Deep neural networks; Embedded systems; Learning systems; Long short-term memory; mHealth; Pattern recognition; Wearable sensors; Classification algorithm; Deep learning; Human activity recognition; LSTM network; MEMS sensors; Mobile phone sensors; Motion activity; Multiple sensors; Physical activity; Wearable devices; Cellular telephones","Conference paper","Final","","Scopus","2-s2.0-85133184595"
"Patel S.; Sasidhar K.; Vaghela M.; Katrodia P.; Wagani R.","Patel, Sarthak (57968336300); Sasidhar, Kalyan (56439922400); Vaghela, Maitri (57215683179); Katrodia, Parth (57968336400); Wagani, Rekha (57202532226)","57968336300; 56439922400; 57215683179; 57968336400; 57202532226","An m-Health app that goes beyond screen time applications","2022","IEEE Region 10 Humanitarian Technology Conference, R10-HTC","2022-September","","","94","99","5","0","10.1109/R10-HTC54060.2022.9929866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142072878&doi=10.1109%2fR10-HTC54060.2022.9929866&partnerID=40&md5=6c23251dec19e1225bf856239268d07f","Screen time analytics on smartphones have become a topic of interest. The digital well-being framework in Android and iOS devices present statistics on phone usage and time spent on apps. However, these tools provide the data on only an hourly basis, so we cannot utilize it in any form for long-term behavioral analysis of smartphone users. Several academic works have studied smartphone user behaviors by developing and installing custom mobile apps that record mobile app usage and built-in sensor data. The studies reveal that prolonged smartphone usage negatively impacts users' physical and mental health. However, these apps are available upon request and may sometimes crash due to operating system versions. Despite hundreds of screen time and sensor data apps on Google PlayStore, they are available separately and not as a single all-in-one app. In this work, we present a unified mobile application that collects phone usage and sensor data with minute-by-minute levels of granularity and infers human physical activity, sleep, and unlock duration. All three metrics are vital to identifying symptoms of mental health disorders such as depression and anxiety. The app has several benefits to various stakeholders, including industry-level app developers and organizations focusing on mental health.  © 2022 IEEE.","martphones; mental healthmart-phones; mental healths; mobile app","Behavioral research; Digital devices; mHealth; iOS devices; Martphone; Mental health; Mental healthmart-phone; Mobile app; Screen time; Sensors data; Smart phones; Time-spent; Well being; Smartphones","Conference paper","Final","","Scopus","2-s2.0-85142072878"
"Taneja V.; Mishra S.; Saxena A.","Taneja, Vibha (57403452700); Mishra, Smriti (57403977300); Saxena, Ankur (57191274748)","57403452700; 57403977300; 57191274748","A Systematic Approach to mHealth in COVID-19: Patient Generated Health Data on Opportunities and Barriers for Transforming Healthcare","2022","Lecture Notes on Data Engineering and Communications Technologies","90","","","193","210","17","1","10.1007/978-981-16-6289-8_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122481118&doi=10.1007%2f978-981-16-6289-8_17&partnerID=40&md5=e2075b9fa18f8eeefc3b3c77826ff11c","Wearable gadgets, portable mHealth applications, and geo-location advancements have the capacity to track, screen, and report information related to COVID-19 pandemic. These developments make an “associated wellbeing,” where people gather information outside of the medical care experience and acknowledge caretakers for it. Assortment of this PGHD or Patient Generated Health Data can possibly sway conveyance of medical care through distant observing, and by permitting patients and medical care groups to give focused on and productive consideration that lines up with the wellbeing status of individual patients. We examine the idea of a participatory computerized contact notice way to deal with help following of contacts who are presented to affirmed instances of Covid infection (COVID-19); It includes two types of approaches; one is based on apps and other on data collection. The proposed tool fills in as a supplemental agreement following way to deal with check the scarcity of medical services staff. To comprehend the worth and boundaries related to clinical reconciliation of PGHD, this study took data of stakeholders, looking at their viewpoints and encounters of PGHD use. Moreover, this research looked to exhibit the utilization of a cell phone and tablet application that upholds PHR (patient health records) based wellbeing perception by coordinating checking capacities explicit to Coronavirus. Interpreting progresses in innovation and data following into effective clinical usage requires seeing how stakeholders conceptualize and utilize PGHD, the potential worth that PGHD can add to mind, and the difficulties that may restrict PGHD's guarantee. Results represent the worth and difficulties related to health-framework execution of PGHD. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Covid-19; Healthcare; mHealth; PGHD; WHO","Coronavirus; Metadata; Application locations; Cell phone application; Covid-19; Data collection; Geolocations; Health data; Medical services; PGHD; Wellbeing; WHO; mHealth","Book chapter","Final","","Scopus","2-s2.0-85122481118"
